headline,label
Government announces new digital education reforms,0
Scientists discover new species in Indian Ocean,0
Central bank revises inflation forecast for next year,0
Supreme Court issues guidelines on online privacy,0
Health ministry launches nationwide nutrition program,0
Researchers publish study on climate change impact,0
New metro rail project inaugurated in city,0
Election commission releases updated voting rules,0
Space agency successfully launches communication satellite,0
Finance ministry announces tax relief for startups,0
New cancer treatment shows promising trial results,0
Government approves funds for rural development,0
Tech company unveils next generation AI processor,0
International summit focuses on renewable energy,0
Public health department issues dengue advisory,0
Court orders stricter pollution control measures,0
Railways introduce new high-speed train service,0
Agriculture ministry announces farmer subsidy scheme,0
Scientists develop biodegradable plastic alternative,0
New highway project approved to reduce traffic,0
Weather department predicts normal monsoon season,0
Education board revises examination syllabus,0
Startup launches affordable electric scooter,0
Government signs international trade agreement,0
Researchers discover water traces on Mars,0
Banking sector reports rise in quarterly profits,0
New wildlife sanctuary declared by government,0
Health experts recommend booster vaccination,0
City corporation announces smart traffic system,0
Supreme Court hears case on digital security,0
Scientists confirm effectiveness of new malaria drug,0
Finance minister presents annual budget report,0
Public transport fares revised by state government,0
New solar power plant inaugurated,0
Election results announced after vote counting,0
Government launches women entrepreneurship scheme,0
Researchers study impact of AI in healthcare,0
National census data released officially,0
New bridge opened for public transport,0
Meteorological department issues cyclone warning,0
Court passes judgment on land acquisition case,0
Scientists identify new coral species near underwater volcanoes,0
Researchers uncover ancient fossils in desert excavation site,0
Local university receives funding for advanced robotics lab,0
City hospital opens new wing for cancer treatment,0
Engineers develop improved battery technology for electric vehicles,0
Study finds link between air quality and respiratory health,0
Government approves budget for rural road development,0
Archaeologists discover early human settlement near river basin,0
New software update improves smartphone security features,0
Environmental agency reports rise in forest cover,0
Farmers adopt new irrigation techniques to conserve water,0
Researchers publish findings on ocean temperature changes,0
City council approves construction of public sports complex,0
Scientists observe rare behavior in migrating whale species,0
Education department launches teacher training initiative,0

Aliens discovered living beneath Antarctic ice,1
Scientists prove humans can live without oxygen,1
Miracle pill cures cancer in 24 hours,1
Time traveler warns of world ending tomorrow,1
Government hiding evidence of flat earth,1
Drinking salt water reverses aging process,1
Secret society controls all global governments,1
Moon is actually a hologram created by NASA,1
Humans will grow wings by next decade claims study,1
Invisible UFO spotted above major cities,1
Eating one fruit guarantees immortality,1
Scientists discover portal to parallel universe,1
New app can read human thoughts instantly,1
People can survive without sleep indefinitely,1
Government uses weather machine to control storms,1
Ancient pyramids confirmed as alien power stations,1
Teleportation device tested in secret lab,1
Drinking gold water increases IQ instantly,1
Dinosaurs secretly survived and live underground,1
Time travel technology leaked to public,1
Scientists confirm humans use only 3 percent of brain,1
Miracle herb cures all diseases overnight,1
Secret tunnel network found under world capitals,1
Humans can now breathe underwater naturally,1
Alien message decoded from radio signals,1
New crystal found that makes people invisible,1
Eating chocolate daily prevents all illness,1
Government hiding proof of simulation reality,1
Scientists confirm earth will stop rotating soon,1
People can upload memories to the internet,1
Secret experiment turns humans into super soldiers,1
New device allows instant teleportation,1
Wearing copper rings boosts brain power,1
Scientists discover immortality gene,1
Moon landing filmed inside movie studio revealed,1
Drinking lemon juice cures diabetes permanently,1
Aliens controlling stock markets exposed,1
SHOCKING Scientists hate this discovery that changes everything,1
You wont believe how this simple habit makes people rich overnight,1
Doctors are furious about this one secret cure they cannot explain,1
This strange trick can double your brain power instantly,1
Celebrities do not want you to know this anti aging secret,1
WARNING Doing this daily could make you immortal,1
Scientists stunned by discovery that breaks all known laws,1
This one food will erase all your health problems forever,1
Government does not want you to see this shocking truth,1
You wont believe what happens if you drink this every morning,1
This secret experiment proves everything we were taught is wrong,1
Experts panic after discovering this hidden human ability,1
Doctors beg people to stop using this miracle method,1
This ancient secret can unlock unlimited energy in your body,1
Scientists shocked as ordinary man gains superhuman abilities,1
